OTITIS EXTERNA ,"Acute otitis externa characteristically produces moderate to severe pain that’s exacerbated by manipulating the auricle or tragus, clenching the teeth, opening the mouth, or chewing. Its other clinical effects may include fever, foul-smelling discharge, crusting in the external ear, regional cellulitis, partial hearing loss, and itching. It’s usually difficult to view the tympanic membrane because of pain in the external canal. Hearing acuity is normal unless complete occlusion has occurred. Fungal otitis externa may be asymptomatic, although A. niger produces a black or gray, blotting, paper-like growth in the ear canal. In chronic otitis externa, pruritus replaces pain, and scratching may lead to scaling and skin thickening. Aural discharge may also occur."
BENIGN TUMORS OF THE EAR CANAL ,"A benign ear tumor is usually asymptomatic, unless it becomes infected, in which case pain, fever, or inflammation may result. (Pain is usually a signof a malignant tumor.) If the tumor grows large enough to obstruct the ear canal by itself or through accumulated cerumen and debris, it may cause hearing loss and the sensation of pressure. "
OTITIS MEDIA ,"Clinical features of acute suppurative otitis media include severe, deep, throbbing pain (from pressure behind the tympanic membrane); signs ofURTI (sneezing or coughing); mild to very high fever; hearing loss (usually mild and conductive); tinnitus; dizziness; nausea; and vomiting. Other possible effects include bulging of the tympanic membrane, with concomitant erythema, and purulent drainage in the ear canal fromtympanic membrane rupture. However, many patients are asymptomatic. Acute secretory otitis media produces a severe conductive hearing loss— which varies from 15 to 35 dB, depending on the thickness and amount of fluid in the middle ear cavity—and, possibly, a sensation of fullness in the ear and popping, crackling, or clicking sounds on swallowing or with jaw movement. Accumulation of fluid may also cause the patient to hear an echo when the patient speaks and to experience a vague feeling of top- heaviness. The cumulative effects of chronic otitis media include thickening and scarring of the tympanic membrane, decreased or absent tympanic membrane mobility, cholesteatoma (a cystlike mass in the middle ear), and,in chronic suppurative otitis media, a painless, purulent discharge. The extent of associated conductive hearing loss varies with the size and type of tympanic membrane perforation and ossicular destruction. If the tympanic membrane has ruptured, the patient may state that thepain has suddenly stopped. Complications may include abscesses (brain, subperiosteal, and epidural), sigmoid sinus or jugular vein thrombosis, septicemia, meningitis, suppurative labyrinthitis, facial paralysis, and otitis externa."
MASTOIDITIS ,"Primary clinical features include a dull ache and tenderness in the area of the mastoid process, low-grade fever, headache, and a thick, purulent discharge that gradually becomes more profuse, possibly leading to otitis externa. Postauricular erythema and edema may push the auricle out fromthe head; pressure within the edematous mastoid antrum may produce swelling and obstruction of the external ear canal, causing conductive hearing loss "
OTOSCLEROSIS ,"Spongy bone in the otic capsule immobilizes the footplate of the normally mobile stapes, disrupting the conduction of vibrations from the tympanic membrane to the cochlea. This causes progressive unilateral hearing loss, which may advance to bilateral deafness. Other symptoms include tinnitus and paracusis of Willis (hearing conversation better in a noisy environment than in a quiet one) "
INFECTIOUS MYRINGITIS ,"Acute infectious myringitis begins with severe ear pain, commonly accompanied by tenderness over the mastoid process. Small, reddened, inflamed blebs form in the canal, on the tympanic membrane, and, with bacterial invasion, in the middle ear. Fever and hearing loss are rare unless fluid accumulates in the middle ear or a large bleb totally obstructs theexternal auditory meatus. Spontaneous rupture of these blebs may cause bloody discharge. Chronic granular myringitis produces pruritus, purulent discharge, and gradual hearing loss "
MÉNIÈRE DISEASE ,"Ménière disease produces three characteristic effects: severe episodic vertigo, tinnitus, and sensorineural hearing loss. A feeling of fullness or blockage in the ear is also common. Violent paroxysmal attacks last from 10 minutes to several hours. During an acute attack, other symptoms include severe nausea, vomiting, sweating, giddiness, and nystagmus.Vertigo may cause loss of balance and falling to the affected side. Symptoms tend to wax and wane as the endolymphatic pressure rises and falls. To lessen these symptoms, the patient may assume a characteristic posture—lying on the side of the unaffected ear and looking in the direction of the affected ear.  Initially, the patient may be asymptomatic between attacks, except for residual tinnitus that worsens during an attack. Such attacks may occur several times a year, or remissions may last as long as several years. These attacks become less frequent as hearing loss progresses (usually unilaterally); they may cease when hearing loss is total. All symptoms are aggravated by motion."
LABYRINTHITIS ,"Because the inner ear controls both hearing and balance, this infection typically produces severe vertigo (with any movement of the head) and sensorineural hearing loss. Vertigo begins gradually but peaks within 48 hours, causing loss of balance and falling in the direction of the affected ear. Other associated signs and symptoms include spontaneous nystagmus, with jerking movements of the eyes toward the unaffected ear, and nausea, vomiting, and giddiness. With cholesteatoma, signs of middle ear disease may appear. With severe bacterial infection, purulent drainage, increased salivation, generalized malaise, and perspiration can occur. To minimize symptoms such as giddiness and nystagmus, the patient may assume a characteristic posture—lying on the side of the unaffected ear and lookingin the direction of the affected ear. "
MOTION SICKNESS ,"Typically, motion sickness induces nausea, vomiting, headache, dizziness, fatigue, diaphoresis, and, occasionally, difficulty in breathing, leading to a sensation of suffocation. These symptoms usually subside when the precipitating stimulus is removed, but they may persist for several hours or days. "
EPISTAXIS ,"Blood oozing from the nostrils usually originates in the anterior nose and is bright red. Blood from the back of the throat originates in the posterior area and may be dark or bright red (commonly mistaken for hemoptysis due to expectoration). Epistaxis is generally unilateral, except when it’s because of dyscrasia or severe trauma. In severe epistaxis, blood may seep behind the nasal septum; it may also appear in the middle ear and in the corners of the eyes.  Associated clinical effects depend on the severity of bleeding. Moderate blood loss may produce light-headedness, dizziness, and slight respiratory difficulty; severe hemorrhage causes hypotension, rapid and bounding pulse, dyspnea, and pallor. Bleeding is considered severe if it persists longer than 10 minutes after pressure is applied and causes blood loss as great as 1 L/hour in adults. Exsanguination (bleeding to death) from epistaxis is rare."
SEPTAL PERFORATION AND DEVIATION ,"A small septal perforation is usually asymptomatic but may produce a whistle on inspiration. A large perforation causes rhinitis, epistaxis, nasal crusting, and watery discharge. The patient with a deviated septum may develop a crooked nose, as the midline deflects to one side. The predominant symptom of severe deflection, however, is nasal obstruction. Other manifestations include a sensation of fullness in the face, shortness of breath, stertor (snoring or laborious breathing), nasal discharge, recurring epistaxis, infection, sinusitis, and headache."
SINUSITIS ,"The primary indication of acute sinusitis is nasal congestion, followed by a gradual buildup of pressure in the affected sinus. For 24 to 48 hours after onset, nasal discharge may be present and later may become purulent. Associated symptoms include malaise, sore throat, headache, and low-grade fever of 99° to 99.5° F (37.2° to 37.5° C). Characteristic pain depends on the affected sinus: maxillary sinusitis causes pain over the cheeks and upper teeth; ethmoid sinusitis, pain over the eyes; frontal sinusitis, pain over the eyebrows; and sphenoid sinusitis (rare), pain behind the eyes."
NASAL POLYPS ,"Nasal obstruction is the primary indication of nasal polyps. Such obstruction causes anosmia, a sensation of fullness in the face, nasal discharge, headache, and shortness of breath. Associated clinical features are usually the same as those of allergic rhinitis. "
NASAL PAPILLOMAS ,"Both inverted and exophytic papillomas typically produce symptoms related to unilateral nasal obstruction—congestion, postnasal drip, headache, shortness of breath, dyspnea, and, rarely, severe respiratory distress, nasal drainage, and infection. Epistaxis is most likely to occur with exophytic papillomas. Occasionally hemorrhage may be the presenting symptom. "
ADENOID HYPERPLASIA ,"Typically, adenoid hyperplasia produces symptoms of respiratory obstruction, especially mouth breathing, snoring at night, and frequent, prolonged nasal congestion. Persistent mouth breathing during the formative years produces voice alteration and distinctive changes in facial features—a slightly elongated face, open mouth, highly arched palate, shortened upper lip, and vacant expression. "
VELOPHARYNGEAL INSUFFICIENCY ,"Generally, this condition causes unintelligible speech, marked by hypernasality, nasal emission, poor consonant definition, and a weak voice. The patient experiences dysphagia and, if velopharyngeal insufficiency is severe, may regurgitate through the nose. "
PHARYNGITIS ,"Pharyngitis produces a sore throat and slight difficulty in swallowing. Swallowing saliva is usually more painful than swallowing food. Pharyngitis may also cause the sensation of a lump in the throat as well as a constant, aggravating urge to swallow. Associated features may include mild fever, headache, muscle and joint pain, coryza, and rhinorrhea. Uncomplicated pharyngitis usually subsides in 3 to 10 days. "
TONSILLITIS ,"Acute tonsillitis commonly begins with a mild to severe sore throat. A very young child, unable to describe a sore throat, may stop eating. Tonsillitis may also produce dysphagia, fever, swelling and tenderness of the lymph glands in the submandibular area, muscle and joint pain, chills, malaise, headache, and pain (frequently referred to the ears). Excess secretions may elicit the complaint of a constant urge to swallow; the back of the throatmay feel constricted. Such discomfort usually subsides after 72 hours.Chronic tonsillitis produces a recurrent sore throat and purulent drainagein the tonsillar crypts. Frequent attacks of acute tonsillitis may also occur.Complications include obstruction from tonsillar hypertrophy and peritonsillar abscess."
THROAT ABSCESSES ,"Key symptoms of peritonsillar abscess include severe throat pain, occasional ear pain on the same side as the abscess, and tenderness of the submandibular gland. Dysphagia causes drooling. Trismus may occur as a result of the spread of edema and infection from the peritonsillar space to the pterygoid muscles. Other effects include fever, chills, malaise, rancid breath, nausea, muffled speech, dehydration, cervical adenopathy, and localized or systemic sepsis. Clinical features of retropharyngeal abscess include pain, dysphagia, fever, and, when the abscess is located in the upper pharynx, nasal obstruction; with a low-positioned abscess, dyspnea, progressive inspiratorystridor (from laryngeal obstruction), neck hyperextension, and, in children, drooling and muffled crying occur. Other symptoms in children may include gurgling respirations, dyspnea and dysphagia, respiratory symptoms, and fever. A very large abscess may press on the larynx, causing edema, or may erode into major vessels, causing sudden death from asphyxia or aspiration."
